id,title,author,editor,year,price,category
1,L’auto-analyse,ANZIEU Didier,PUF,1959,,0
2,Les voies de la régression,BALINT Michael,Payot,1972,,0
3,Aux frontières de l’acte psychanalytique,BEIRNAERT Louis,Seuil,1987,,0
4,Le corps,BERNARD Michel,Éd. universitaires,1972,,0
5,"Freud et l’âme humaine, de la traduction à la trahison",BETTELHEIM Bruno,Laffont,1984,,0
6,La forteresse vide,BETTELHEIM Bruno,Gallimard,1967,,0
7,La forteresse vide,BETTELHEIM Bruno,NRF Gallimard,1974,,0
8,La psychanalyse des contes de fées,BETTELHEIM Bruno,Poche,1976,,0
9,Les blessures symboliques,BETTELHEIM Bruno,Gallimard,1962,,0
10,Les enfants du rêve,BETTELHEIM Bruno,Laffont,1974,,0
11,Un lieu où renaître,BETTELHEIM Bruno,Poche,1975,,0
12,Eléments d’analyse,BION W R,PUF,1979,,0
13,La notion d’ambivalence – Étude critique valeur séméiologique,BOUTONIER J.,Payot,1972,,0
14,Techniques spécialisées de la psychothérapie,BYCHOWSKI Gustav/DESPERT J. Louise,PUF,1958,,0
15,Freud et le désir,CARIOU Marie,PUF,1973,,0
16,Dedans,CIXOUS Hélène,Grasset,1969,,0
17,Les fils de Freud sont fatigués,CLEMENT Catherine,Grasset,1978,,0
18,La jeune née,CLEMENT Catherine/CIXOUS Hélène,Folio 10/18,1975,,0
19,"Le potentiel humain, bio-énergie, gestalt, groupe de rencontre",COLIN Lucette/LEMAITRE Jean-Marie,Éd. universitaires,1975,,0
20,Malaise chez l’enseignant,CORDIE Anny,Seuil Champ freudien,1998,,0
21,Un enfant devient psychotique,CORDIÉ Anny,Navarin,1987,,0
22,L’entretien non directif,CURRAN Charles,Éd. universitaires,1967,,0
23,L'anti-œdipe,DELEUZE Gilles/GUATTARI Félix,Éd. Minuit,1972/1973,,0
24,Freud psychanalyse et catholicisme,DEMPSEY P. J. R.,Éd. du cerf,1958,,0
25,Les trois temps de la Loi,DIDIER-WEILL Alain,Seuil,1995,,0
26,Le cas Dominique,DOLTO Françoise,Points poche,1974,,0
27,Libido féminine,DOLTO Françoise,Carrere,1987,,0
28,Psychanalyse et pédiatrie,DOLTO Françoise,Points poche,1976,,0
29,Psychanalyse et pédiatrie,DOLTO Françoise,Seuil ,1971,,0
30,Quand les parents se séparent,DOLTO Françoise,Seuil,1988,,0
31,Séminaire de psychanalyse d’enfants 2,DOLTO Françoise,Seuil,1985,,0
32,Solitude,DOLTO Françoise,Gallimard,2000,,0
33,L’image inconsciente du corps,DOLTO Françoise,Seuil,1984,,0
34,L‘inconscient structuré comme un langage – 1.,DOR Joël,Denoël,1963,,0
35,La méthode des fables en psychanalyse infantile,DÜSS Louisa,L’Arche,1972,,0
36,"À corps et à cris, être psychanalyste avec les tout-petits",ÉLIACHEF Caroline,Odile Jacob,1989,,0
37,Éloge de la féminité,ETCHEGOYEN Alain,Arléa,1997,,0
38,Rencontres avec Laing,EVANS Richard,Belfond,1979,,0
39,Être psychanalyste,FAVEZ Georges/ANZIEU Didier/ANZIEU Annie/BERRY Nicole/PONTALIS Jean-Bertrand/SMIRNOFF Victor N.,Dunod,1976,,0
40,Dictionnaire de la psychanalyse,FÉDIDA Pierre,Larousse poche,1974,,0
41,La psychanalyse aujourd’hui,FÉDIDA Pierre/MONTRELAY Michèle/SOLIÉ Pierre/CAZENAVE Michel,Imago,1983,,0
42,Défense du consensus,FERENCZI Thomas,Flammarion,1989,,0
43,"Hystérie et Obsession, les structures cliniques de la névrose et la direction de la cure",Fondation du Champ freudien,Navarin,1986,,0
44,Cinq leçons de psychanalyse,FREUD Sigmund,Payot poche,1977,,0
45,Cinq leçons sur la psychanalyse,FREUD Sigmund,Payot poche,1985,,0
46,Cinq leçons sur la psychanalyse,FREUD Sigmund,Payot poche,1972,,0
47,Cinq psychanalyses,FREUD Sigmund,PUF,1966,,0
48,Correspondances 1873-1939,FREUD Sigmund,Gallimard,1966,,0
49,Essais de psychanalyse ,FREUD Sigmund,Payot poche,1971,,0
50,Essais de psychanalyse appliquée,FREUD Sigmund,Gallimard,1952,,0
51,"FREUD, Sigmund présenté par lui-même",FREUD Sigmund,NRF Gallimard,1991,,0
52,"Inhibition, symptôme et angoisse",FREUD Sigmund,PUF,1973,,0
53,"Inhibition, symptôme et angoisse",FREUD Sigmund,PUF,1981,,0
54,"Inhibition, symptôme et angoisse",FREUD Sigmund,PUF,1954,,0
55,Introduction à la psychanalyse,FREUD Sigmund,Payot poche,1978,,0
56,L’avenir d’une illusion,FREUD Sigmund,PUF,1971,,0
57,La naissance de la psychanalyse,FREUD Sigmund,PUF,1969,,0
58,La naissance de la psychanalyse,FREUD Sigmund,PUF,1979,,0
59,La question de l’analyse profane,FREUD Sigmund,NRF Gallimard,1985,,0
60,La vie sexuelle,FREUD Sigmund,PUF,1969,,0
61,Le mot d’esprit et ses rapports avec l’inconscient,FREUD Sigmund,Gallimard poche,1978,,0
62,Malaise dans la civilisation,FREUD Sigmund,PUF,1971,,0
63,Métapsychologie,FREUD Sigmund,NRF Idées,1968,,0
64,Vue d ‘ensemble des névrose de transfert,FREUD Sigmund,NRF Gallimard,1986,,0
65,Études sur l’hystérie,FREUD Sigmund/BREUER Joseph,PUF,1978,,0
66,L’œil d’œdipe,FRIEDLER Julien,PUF,2004,,0
67,L art d’aimer,FROMM Erich,EPI,1979,,0
68,Le dogme du Christ,FROMM Erich,PUF Complexe,1975,,0
69,Mélanie Klein,GEETS Claude,Éd. universitaires,1971,,0
70,L'effet 'Yau de Poêle de Lacan et des lacaniens,GEORGES François,Hachette Essais,1979,,0
71,L’appel de transfert et la nomination,GINESTET-DELBREIL Suzanne,Inter Éditions,1987,,0
72,Ernest Jones,Girard Claude,Payot poche,1972,,0
73,Le vécu de l’alcoolique,GORI Roland-Claude/BONDOUX Annick,Éd. universitaires,1970,,0
74,Le livre du ça,GRODDECK Georg,Gallimard poche,1972,,0
75,Le livre du ça,GRODDEKC Georg,Gallimard,1978,,0
76,Le livre du ça,GRODDEKC Georg,Gallimard,1987,,0
77,Le livre du ça,GRODDEKC Georg,NRF Gallimard,1974,,0
78,Les suicides d’adolescents,HAIM André,Payot,1970,,0
79,Figures de la perversion,HAN Massoud,NRF Gallimard,1981,,0
80,Parents immatures enfants-adultes,HARRUS-REVIDI Giselle,Payot,2001,,0
81,Entre la mort et la famille : la crèche,HASSOUN Jacques,Payot poche,1977,,0
82,Problèmes de la cure psychanalytique aujourd’hui,HELD René-R.,Payot,1975,,0
83,Le mythe de la psychanalyse,HILLMAN James,Imago,1977,,0
84,Abus de faiblesse et autres manipulations,HIRIGOYEN Marie-France,JC Lattès,2012,,0
85,Psychanalyse et psychologie médicale,HUISMAN Denis,Fernand Nathan,1972,,0
86,L’interdit et la transgression,Inconscient et culture,Dunod,1984,,0
87,Hamlet et Œdipe,JONES Ernest,Gallimard,1967,,0
88,"La vie et l’œuvre de Sigmund Freud, 1. La jeunesse 1856-1900",JONES Ernest,PUF,1858,,0
89,"La vie et l’œuvre de Sigmund Freud, 1. Les dernières années 1919-1939",JONES Ernest,PUF,1858,,0
90,"La vie et l’œuvre de Sigmund Freud, 2. Les années de maturité 1091-1919",JONES Ernest,PUF,1858,,0
91,Théorie et pratique de la Psychanalyse,JONES Ernest,Payot,1997,,0
92,Envie et gratitude et autres essais,KLEIN Mélanie,NRF Gallimard,1971,,0
93,Écrits 1,LACAN Jacques,Points poche,1970,,0
94,Écrits 2,LACAN Jacques,Points poche,1971,,0
95,Un père,LACAN Sibylle,Digraphe,1994,,0
96,Nouveaux fondements pour la psychanalyse,LAPLANCHE Jean,PUF,1987,,0
97,Vocabulaire de la psychanalyse,LAPLANCHE Jean/PONTALIS Jean-Bertrand,PUF,1968,,0
98,"Fantasme originaire, fantasmes des origines, origine des fantasmes",LAPLANCHE Jean/PONTALIS Jean-Bertrand,Hachette Pluriel,1999,,0
99,Vocabulaire de la psychanalyse,LAPLANCHE Jean/PONTALIS Jean-Bertrand,PUF,1967,,0
100,Qui je… ?,LAVIE Jean-Claude,Gallimard,1985,,0
101,On tue un enfant,LECLAIRE Serge,Seuil,1975,,0
102,Psychanalyser,LECLAIRE Serge,Points poche,1975,,0
103,Psychanalyser,LECLAIRE Serge,Seuil,1968,,0
104,"L’amour du censeur, essai sur l’ordre dogmatique",LEGENDRE Pierre,Seuil,1974,,0
105,La communication,LÉVY-VALENSI Éliane Amado,Éd. universitaires,1972,,0
106,Nouvelles études sur l'hystérie,MALMAN Charles,Denoël,1938,,0
107,"Le psychiatre, son « fou » et la psychanalyse",MANNONI Maud,Seuil Champ freudien,1970,,0
108,Ça ne m’empêche pas d’exister,MANNONI Octave,Seuil,1982,,0
109,Fictions freudiennes,MANNONI Octave,Seuil,1978,,0
110,"Lettres personnelles, fiction lacanienne d’une analyse",MANNONI Octave,Denoël,1990,,0
111,"Un commencement qui n’en finit pas, transfert, interprétation, théorie",MANNONI Octave,Seuil,1980,,0
112,Images des psychologues cliniciens,MATISSON Maurice David,Éd. universitaires,1971,,0
113,"Le développement kleinien de la psychanalyse, 1. l’évolution clinique de Freud",MELTZER Donald,Privat,1978,,0
114,La révolte contre le père,MENDEL Gérard,Payot,1969,,0
115,La crise de générations,MENDEL Gérard,Payot,1969,,0
116,L’autisme au quotidien,MILCENT Catherine,Odile Jacob,1991,,0
117,"L’enfant sous terreur, l’ignorance de l’adulte et son prix",MILLER Alice,Aubier,1986,,0
118,Le drame de l’enfant doué,MILLER Alice,PUF,1986,,0
119,Psychanalyse et féminisme,MITCHELL Juliet,Éd. des femmes,1975,,0
120,Vers une société sans pères,MITSCHERLICH Alaxander,NRF Gallimard,1969,,0
121,D’où viennent les parents ? Essai sur la mémoire brisée,MOSCOVITZ Jean-Jacques,Armand Colin,1991,,0
122,Le couple et l’enfant,NAOURI Aldo,Odile Jacob poche,2005,,0
123,Les filles et leurs mères,NAOURI Aldo,Odile Jacob,1998,,0
124,Parier sur l’enfant,NAOURI Aldo,Seuil,1988,,0
125,Questions d’enfants,NAOURI Aldo/THÉVENOT Brigitte,Odile Jacob,1999,,0
