Id,author,title,editor,year,price,category,
1,ALMODOVAR Pedro,Hable con ella,El deseo,2002,,13,
2,ARIELLI,L'amour dans la gravure des XVIe et XVIIe siècles,Éditions du Colombier,1968,,13,
3,BEATON Cecil ,The best of Beaton,Macmillan,1968,,13,
4,BEAUVAIS Robert,Photographies inconvenantes 1900,Balland,1978,,13,
5,BERNARD Bruce,Siècle,Phaidon,1999,,13,
6,BRUYÈRE André,Éclats,Marval,1994,,13,
7,CADY Barbara,Portraits du XXe siècle ,Könemann,1999,,13,
8,DOISNEAU/CAVANNA,Les doigts pleins d'encre,Hoebeke,1989,,13,
9,DOISNEAU/PENNAC,Les grandes vacances,Hoebeke,1991,,13,
10,FIELL Charlotte & Peter ,Design,Taschen,2005,,13,
11,GUÉRIN-FERMIGIER Franette/NICOLAS Richard,Ten lizes Andy Warhol,Centre Georges Pompidou,1990,,13,
12,HERVÉ Lucien/NOËL Bernard,intimité et immensité,Temenos,1994,,13,
13,KLEIN William,William Klein,Photo poche,1985,,13,
14,NEWTON Helmut,Private property ,Schirmer Art Books,1989,,13,
15,NOUVEL Jean,Jean Nouvel,TeNeues,2002,,13,
16,RASMUSSEN Rie/DEBBOUZE Jamel,"Angel-A, un film de Luc Besson",Intervista,2005,,13,
17,RICH CATTON D.,Degas,NEF,,,13,
18,ROBERTS David,The holy land Jerusalem,Nachman Ran,1982,,13,
19,SCHAPIRO MEYER,Van Gogh,NEF,,,13,
20,SEITZ William C.,Monet,NEF,,,13,
21,SMITH Bob & Roberta,"The best advertising and design in the world, everything is made",Taschen,2010,,13,
