id,author,title,editor,year,price,category
1,POULET Georges,Les métamorphoses du cercle,Flammarion,1979,,4
2,PALMIER Jean-Michel,Les écrits politiques de Heidegger,L'Herne,1968,,4
3,PAPAIOANNOU Kostas,Hegel,Seghers,1966,,4
4,SERRES Michel,Genèse,Grasset,1981,,4
5,STEINER Georges,Les Antigones,Gallimard,1986,,4
6,FOUCAULT Michel,Les mots et les choses,Gallimard,1966,,4
7,MONOD Jacques,"Le hasard et la nécessité, essai sur la philosophie naturelle de la biologie moderne",Seuil,1970,,4
8,BARTHES Roland,Système de la mode,Seuil,1983,,4
9,BARTHES Roland,Fragments d'un discours amoureux,Seuil,1977,,4
10,LYOTARD Jean-François,Des dispositifs pulsionnels,Christian Bourgois,1980,,4
11,BACHELARD Gaston,La formation de l'esprit scientifique,J. Vrin,1971,,4
12,FOUCAULT Michel,Histoire de la sexualité - 1. La volonté de savoir,Gallimard,1984,,4
13,FOUCAULT Michel,"Les mots et les choses, une archéologie des sciences humaines",Gallimard,1981,,4
14,HEIMONET Jean-Michel,Le mal à l'œuvre,Parenthèses Chemin de ronde,1987,,4
15,ROUSTANG François,Influence,Les éditions de Minuit,1990,,4
16,ROUSTANG François,Le bal masqué de Giacomo Casanova,Les éditions de Minuit,1984,,4
17,MICHAUX Henri,Ailleurs,Gallimard,1967,,4
18,FOUCAULT Michel,L'archéologie du savoir,Gallimard,1969,,4
19,ALTHUSSER Louis,"L'avenir dure longtemps, Les faits",Stock,1992,,4
20,LIPOVETSKY Gilles,"L'empire de l'éphémère, la mode et son destin dans les sociétés modernes",Gallimard,1987,,4
21,BACHELARD Gaston,La poétique de la rêverie,PUF,1965,,4
22,AUZIAS Jean-Marie,Clés pour le structuralisme,Seghers,1968,,4
23,AUZIAS Jean-Marie,Clés pour le structuralisme,Seghers,1967,,4
25,QUILLET Pierre,Bachelard,Seghers,1964,,4
26,KANT Emmanuel,Critique de la raison pure,Flammarion,1976,,4
27,GAUTIER-VIGNAL Louis,Machiavel,éditions universitaires,1969,,4
28,BLOCH Jean-Richard,Destin du siècle,PUF,1996,,4
29,FOUCAULT Michel,L'archéologie du savoir,Gallimard,1971,,4
30,FOUCAULT Michel,Histoire de la sexualité - 2. L'usage des plaisirs,Gallimard,1984,,4
31,FOUCAULT Michel,"Les mots et les choses, une archéologie des sciences humaines",Gallimard,1966,,4
32,LEIBNIZ G. W.,Discours de métaphysique,J. Vrin,1990,,4
33,NIETZSCHE Friedrich,"Ecce homo, Nietzsche contre Wagner",GF - Flammarion,1992,,4
34,HEGEL G. W. F.,Leçons sur l'histoire de la philosophie 1,Idées,1970,,4
35,ARISTOTE,Histoires des animaux,Folio essais,1994,,4
36,FROMM Erich,Le cœur de l'homme,Payot,1991,,4
37,QUILLIOT Roger,La liberté aux dimensions humaines,Gallimard,1967,,4
38,SERRES Michel,Détachement,Flammarion,1983,,4
39,BARTHES Roland,S/Z,Points,1976,,4
40,BUTOR Michel,La modification,Les éditions de Minuit,1983,,4
41,BUTOR Michel,L'emploi du temps - L'exemple par Georges Raillard,10/18,1966,,4
43,FONTANIER Pierre,Les figures du discours,Flammarion,1977,,4
44,ALTHUSSER Louis,Réponse à John Lewis,François Maspero,1973,,4
45,PONTALIS Jean-Bertrand,Le songe de monomotapa,Gallimard,2009,,4
46,KIERKEGAARD Soeren,Le journal du séducteur,Idées,1965,,4
47,BARTHES Roland,Essais critiques,Points,1981,,4
48,BARTHES Roland,Sur Racine,Points,1979,,4
50,BUTOR Michel,La modification,10/18,1970,,4
51,ONFRAY Michel,"Théorie du corps amoureux, pour une érotique solaire",Grasset,2000,,4
53,FOUCAULT Michel,L'ordre du discours,Gallimard,1979,,4
54,SERRES Michel,Esthétiques sur Carpaccio,Le livre de poche,1983,,4
55,ALAIN,Vingt leçons sur les beaux-arts,Gallimard,1942,,4
56,SERRES Michel,éclaircissements,François Bourin,1992,,4
57,SUZUKI Shunryu,Esprit zen esprits neufs,Sagesses,1977,,4
58,HALBWACHS Maurice,LEIBNIZ,Mellottée,?,,4
60,BADIOU Alain,Le concept du modèle,François Maspero,1972,,4
61,PALEM Robert M.,"Henry Ey, psychiatre et philosophe",Rive droite,1998,,4
62,JANKELEVITCH Vladimir,"3. Le Je-ne-sais-quoi et le Presque-rien, la volonté de vouloir",Seuil,1980,,4
63,JANKELEVITCH Vladimir,"1.  Le Je-ne-sais-quoi et le Presque-rien, la manière et l'occasion",Seuil,1980,,4
64,JANKELEVITCH Vladimir,"2. Le Je-ne-sais-quoi et le Presque-rien, la méconnaissance, le malentendu",Seuil,1980,,4
65,BARTHES Roland,"L'obvie et l'obtu, essais critiques III",Seuil,1982,,4
