Id,author,title,editor,year,price,category
1,MIQUEL Jean-Pierre,La Ruche - mythes et réalités de la comédie française,Actes sud,2002,,9
2,BEIGBEDER Marc ,Le Théâtre En France depuis la libération,Bordas,1959,,9
3,MARCEAU Félicien,L'œuf,Comédie Française,1979,,9
4,TCHEKHOV,La Cerisaie - mis en scène Peter BROOK,Créations Théâtrales,1981,,9
5,FREIXE Guy,"Le corps, ses dimensions cachées",Deuxième Époque,2017,,9
6,FO Dario,Franca Rame - Récits de femmes et autres histoires - tome IV,Dramaturgie,2005,,9
7,BERNARD Tristan/RABIER-LABICHE,"Deux comédies inédites : Cœur de bronze, comédie en un acte - Une leçon de monsieur Fleurant. Ill. de Renaucourt",Éditions Cortial,1931,,9
8,TEMKINE Raymonde,L'entreprise théâtre,Éditions Cujas,1967,,9
9,DURAND Jacques-Olivier,Tous Spectateurs - La belle aventure des amis du théâtre populaire,Éditions de L'aube,1992,,9
10,MUSSET Alfred de,Il ne faut jurer de rien - Ill. M. Vignalou - édition originale numérotée,Éditions du marais,1945,,9
11,MIGNON Paul-Louis,Jean-Louis Barrault - Le théâtre total ,Éditions du rocher,1998,,9
12,SHAW Bernard,Pièces Plaisantes,Éditions Montaigne,1933,,9
13,UBERSFELD Anne,Lire le théâtre,Éditions sociales,1977,,9
14,MARISSEL André,Beckett,Éditions universitaires,1963,,9
15,DANTE,Le Purgatoire,Firmin-Didot,1932,,9
16,IONESCO,La cantatrice chauve,Folio,1991,,9
17,SARTRE Jean-Paul,Huis clos - Les mouches,Folio,1996,,9
18,BOAL Augusto,Théâtre de l'opprimé,François Maspero,1977,,9
19,ARTAUD Antonin,Œuvres Complètes Tome VIII,Gallimard,1980,,9
20,BÉHAR Henri,Le théâtre dada et surréaliste,Gallimard,1979,,9
21,Cahiers Renaud Barrault,Samuel Beckett… N°44,Gallimard,1970,,9
22,Cahiers Renaud Barrault,Rabelais… N°67,Gallimard,1968,,9
23,Cahiers Renaud Barrault,Duras-Beckett… N°106,Gallimard,1983,,9
24,DURAS Marguerite,Le Théâtre de l'Amante Anglaise,Gallimard,1991,,9
25,PINTER Harold,Le Retour,Gallimard,1969,,9
26,GUITRY Sacha,Théâtre je t'adore ,Hachette,1958,,9
27,Mortier Daniel,Le Nouveau Théâtre,Hatier,1974,,9
28,Cahiers Renaud Barrault,Le théâtre Historique et le théâtre Sarah Bernard n°21,Julliard,1957,,9
29,BRECHT Bertolt,Le Cercle de craie caucasien,L'arche,1974,,9
30,BRECHT Bertolt,Petit organon pour le théâtre,L'arche,1970,,9
31,SAUVAGE Micheline,Calderon,L'arche,1959,,9
32,RACINE,Théâtre Complet - tome III - Illustrations G. Leroux,La Belle Édition,?,,9
33,PILLEMENT Georges,Le Théâtre d'aujourd'hui - de Jean Paul Sartre à Arrabal ,Le Bélier,1970,,9
34,PINTER Harold,The Caretaker,Methuen,1960,,9
35,BECKETT Samuel,En attendant Godot,Minuit,1976,,9
36,BECKETT Samuel,En attendant Godot,Minuit,1985,,9
37,TARDIEU Jean,Théâtre de chambre,NRF Gallimard,1987,,9
38,JULIET Charles,Rencontres avec Samuel Beckett,P.O.L.,1999,,9
39,AUDEBERT Maurice/BRUIT Guy,"Théâtres, Parcours, Paroles",Raison Présente,1981,,9
40,GINESTIER Paul,Anouilh,Seghers,1974,,9
41,GINESTIER Paul,Anouilh,Seghers,1969,,9
42,BROOK Peter,L'espace vide - écrits sur le théâtre ,Seuil,1977,,9
43,SILEX N°7,"Moi, Berthold Brecht",Silex,1978,,9
44,Revue d'histoire du théâtre,Théâtre en vers de Hugo à Cocteau,Société D'histoire Du Théâtre,1993,,9
45,GATTI Armand,Chant Public Devant 2 Chaises électriques,Tnp,1966,,9
